Method,Accuracy (%),F1-score,Precision,Recall,Reduction (%),Runtime (s),N_features,Train_Acc (%),Gap (%)
Information Gain,99.62 ± 0.07,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,51.22 ± 0.00,3.28 ± 1.17,20.00 ± 0.00,,
RFE,99.56 ± 0.14,1.00 ± 0.00,0.99 ± 0.00,1.00 ± 0.00,51.22 ± 0.00,22.55 ± 0.18,20.00 ± 0.00,,
Standard BPSO,99.17 ± 0.11,0.99 ± 0.00,0.99 ± 0.00,0.99 ± 0.00,89.43 ± 3.04,1246.22 ± 176.07,4.33 ± 1.25,,
CUDA-AMSR-PSO,99.34 ± 0.13,0.99 ± 0.00,0.99 ± 0.00,0.99 ± 0.00,94.31 ± 1.15,1259.05 ± 12.51,2.33 ± 0.47,99.36 ± 0.08,0.02 ± 0.12
