Method,Accuracy (%),F1-score,Precision,Recall,Reduction (%),Runtime (s),N_features,Train_Acc (%),Gap (%)
Information Gain,99.46 ± 0.03,1.00 ± 0.00,1.00 ± 0.00,1.00 ± 0.00,50.00 ± 0.00,1.28 ± 0.02,21.00 ± 0.00,,
RFE,99.43 ± 0.02,1.00 ± 0.00,0.99 ± 0.00,1.00 ± 0.00,50.00 ± 0.00,3.75 ± 0.06,21.00 ± 0.00,,
Standard BPSO,99.25 ± 0.04,1.00 ± 0.00,0.99 ± 0.00,1.00 ± 0.00,91.27 ± 1.12,383.43 ± 5.60,3.67 ± 0.47,,
CUDA-AMSR-PSO,99.34 ± 0.15,1.00 ± 0.00,0.99 ± 0.00,1.00 ± 0.00,96.03 ± 1.12,588.06 ± 150.01,1.67 ± 0.47,99.40 ± 0.16,0.06 ± 0.07
