Method,Accuracy (%),F1-score,Precision,Recall,Reduction (%),Runtime (s),N_features,Train_Acc (%),Gap (%)
Information Gain,63.42 ± 0.10,0.67 ± 0.00,0.64 ± 0.00,0.69 ± 0.00,50.00 ± 0.00,2.61 ± 0.34,14.00 ± 0.00,,
RFE,65.19 ± 0.02,0.68 ± 0.00,0.66 ± 0.00,0.69 ± 0.00,50.00 ± 0.00,1.72 ± 0.27,14.00 ± 0.00,,
Standard BPSO,65.00 ± 0.51,0.67 ± 0.00,0.66 ± 0.01,0.69 ± 0.00,72.62 ± 3.37,1249.36 ± 86.45,7.67 ± 0.94,,
CUDA-AMSR-PSO,66.29 ± 0.24,0.68 ± 0.00,0.67 ± 0.00,0.70 ± 0.01,71.43 ± 2.91,1479.56 ± 235.97,8.00 ± 0.82,77.83 ± 0.41,11.54 ± 0.17
